Current_State,Previous_State,Movers_Estimate
Kentucky,Massachusetts,245.0
Kentucky,Michigan,3619.0
Kentucky,Minnesota,229.0
Kentucky,Mississippi,94.0
Kentucky,Missouri,1734.0
Kentucky,Montana,758.0
Kentucky,Nebraska,93.0
Kentucky,Nevada,1445.0
Kentucky,New Hampshire,3667.0
Kentucky,New Jersey,388.0
Kentucky,New Mexico,0.0
Kentucky,New York,2370.0
Kentucky,North Carolina,2452.0
Kentucky,North Dakota,0.0
Kentucky,Ohio,13249.0
Kentucky,Oklahoma,1451.0
Kentucky,Oregon,396.0
Kentucky,Pennsylvania,2282.0
Kentucky,Rhode Island,0.0
Kentucky,South Carolina,1126.0
Kentucky,South Dakota,841.0
Kentucky,Tennessee,14444.0
Kentucky,Texas,5471.0
Kentucky,Utah,259.0
Kentucky,Vermont,0.0
Kentucky,Virginia,2754.0
Kentucky,Washington,4273.0
Kentucky,West Virginia,1565.0
Kentucky,Wisconsin,1427.0
Kentucky,Wyoming,0.0
Louisiana,Alabama,2558.0
Louisiana,Alaska,229.0
Louisiana,Arizona,669.0
Louisiana,Arkansas,3228.0
Louisiana,California,2424.0
Louisiana,Colorado,777.0
Louisiana,Connecticut,778.0
Louisiana,Delaware,0.0
Louisiana,District of Columbia,0.0
Louisiana,Florida,4686.0
Louisiana,Georgia,2407.0
Louisiana,Hawaii,313.0
Louisiana,Idaho,1306.0
Louisiana,Illinois,1289.0
Louisiana,Indiana,854.0
Louisiana,Iowa,104.0
Louisiana,Kansas,789.0
Louisiana,Kentucky,207.0
Louisiana,Maine,0.0
Louisiana,Maryland,1289.0
Louisiana,Massachusetts,1025.0
Louisiana,Michigan,257.0
Louisiana,Minnesota,1262.0
Louisiana,Mississippi,7272.0
Louisiana,Missouri,977.0
Louisiana,Montana,458.0
Louisiana,Nebraska,0.0
Louisiana,Nevada,2865.0
Louisiana,New Hampshire,166.0
Louisiana,New Jersey,945.0
Louisiana,New Mexico,88.0
Louisiana,New York,532.0
Louisiana,North Carolina,2261.0
Louisiana,North Dakota,1345.0
Louisiana,Ohio,453.0
Louisiana,Oklahoma,846.0
Louisiana,Oregon,550.0
Louisiana,Pennsylvania,533.0
Louisiana,Rhode Island,0.0
Louisiana,South Carolina,338.0
Louisiana,South Dakota,830.0
Louisiana,Tennessee,1883.0
Louisiana,Texas,18446.0
Louisiana,Utah,179.0
Louisiana,Vermont,0.0
Louisiana,Virginia,1188.0
Louisiana,Washington,752.0
Louisiana,West Virginia,56.0
Louisiana,Wisconsin,50.0
Louisiana,Wyoming,0.0
Maine,Alabama,124.0
Maine,Alaska,274.0
Maine,Arizona,375.0
Maine,Arkansas,56.0
Maine,California,1553.0
Maine,Colorado,1178.0
Maine,Connecticut,948.0
Maine,Delaware,226.0
Maine,District of Columbia,0.0
Maine,Florida,4008.0
Maine,Georgia,81.0
Maine,Hawaii,140.0
Maine,Idaho,16.0
Maine,Illinois,1223.0
Maine,Indiana,0.0
Maine,Iowa,0.0
Maine,Kansas,77.0
Maine,Kentucky,48.0
Maine,Louisiana,18.0
Maine,Maryland,700.0
Maine,Massachusetts,5670.0
Maine,Michigan,162.0
Maine,Minnesota,422.0
Maine,Mississippi,654.0
Maine,Missouri,2.0
Maine,Montana,15.0
Maine,Nebraska,30.0
Maine,Nevada,592.0
Maine,New Hampshire,5715.0
Maine,New Jersey,1137.0
Maine,New Mexico,116.0
Maine,New York,2330.0
Maine,North Carolina,609.0
Maine,North Dakota,126.0
Maine,Ohio,755.0
Maine,Oklahoma,0.0
Maine,Oregon,469.0
Maine,Pennsylvania,1454.0
Maine,Rhode Island,528.0
Maine,South Carolina,741.0
Maine,South Dakota,0.0
Maine,Tennessee,467.0
Maine,Texas,1925.0
Maine,Utah,91.0
Maine,Vermont,706.0
Maine,Virginia,1022.0
Maine,Washington,689.0
Maine,West Virginia,586.0
Maine,Wisconsin,31.0
Maine,Wyoming,0.0
Maryland,Alabama,431.0
Maryland,Alaska,142.0
Maryland,Arizona,2202.0
Maryland,Arkansas,128.0
Maryland,California,10051.0
Maryland,Colorado,1276.0
Maryland,Connecticut,1908.0
Maryland,Delaware,5245.0
Maryland,District of Columbia,20296.0
Maryland,Florida,8205.0
Maryland,Georgia,3790.0
Maryland,Hawaii,1352.0
Maryland,Idaho,270.0
Maryland,Illinois,1213.0
Maryland,Indiana,1052.0
Maryland,Iowa,1054.0
Maryland,Kansas,217.0
Maryland,Kentucky,603.0
Maryland,Louisiana,486.0
Maryland,Maine,428.0
Maryland,Massachusetts,4455.0
Maryland,Michigan,1079.0
Maryland,Minnesota,1073.0
Maryland,Mississippi,0.0
Maryland,Missouri,1221.0
Maryland,Montana,242.0
Maryland,Nebraska,16.0
Maryland,Nevada,147.0
Maryland,New Hampshire,368.0
Maryland,New Jersey,7170.0
Maryland,New Mexico,1401.0
Maryland,New York,14439.0
Maryland,North Carolina,6501.0
Maryland,North Dakota,0.0
Maryland,Ohio,5145.0
Maryland,Oklahoma,1204.0
Maryland,Oregon,913.0
Maryland,Pennsylvania,16851.0
Maryland,Rhode Island,1253.0
Maryland,South Carolina,3369.0
Maryland,South Dakota,0.0
Maryland,Tennessee,724.0
Maryland,Texas,5592.0
Maryland,Utah,1801.0
Maryland,Vermont,228.0
Maryland,Virginia,21670.0
Maryland,Washington,1526.0
Maryland,West Virginia,3739.0
Maryland,Wisconsin,0.0
Maryland,Wyoming,198.0
Massachusetts,Alabama,97.0
Massachusetts,Alaska,0.0
Massachusetts,Arizona,1427.0
Massachusetts,Arkansas,50.0
Massachusetts,California,12160.0
Massachusetts,Colorado,2017.0
Massachusetts,Connecticut,10437.0
Massachusetts,Delaware,397.0
Massachusetts,District of Columbia,2214.0
Massachusetts,Florida,12758.0
Massachusetts,Georgia,2897.0
Massachusetts,Hawaii,109.0
Massachusetts,Idaho,201.0
Massachusetts,Illinois,3187.0
Massachusetts,Indiana,1014.0
Massachusetts,Iowa,227.0
Massachusetts,Kansas,667.0
Massachusetts,Kentucky,0.0
Massachusetts,Louisiana,762.0
Massachusetts,Maine,2391.0
Massachusetts,Maryland,4214.0
Massachusetts,Michigan,1209.0
Massachusetts,Minnesota,772.0
Massachusetts,Mississippi,96.0
Massachusetts,Missouri,703.0
Massachusetts,Montana,395.0
Massachusetts,Nebraska,125.0
Massachusetts,Nevada,1249.0
Massachusetts,New Hampshire,11508.0
Massachusetts,New Jersey,6272.0
Massachusetts,New Mexico,1123.0
Massachusetts,New York,16247.0
Massachusetts,North Carolina,5217.0
Massachusetts,North Dakota,0.0
Massachusetts,Ohio,3804.0
Massachusetts,Oklahoma,78.0
Massachusetts,Oregon,386.0
Massachusetts,Pennsylvania,9392.0
Massachusetts,Rhode Island,7264.0
Massachusetts,South Carolina,1367.0
Massachusetts,South Dakota,64.0
Massachusetts,Tennessee,3996.0
Massachusetts,Texas,6165.0
Massachusetts,Utah,380.0
Massachusetts,Vermont,1430.0
Massachusetts,Virginia,5186.0
Massachusetts,Washington,1523.0
Massachusetts,West Virginia,234.0
Massachusetts,Wisconsin,752.0
Massachusetts,Wyoming,858.0
Michigan,Alabama,718.0
Michigan,Alaska,119.0
Michigan,Arizona,4049.0
Michigan,Arkansas,603.0
Michigan,California,9765.0
Michigan,Colorado,3698.0
Michigan,Connecticut,1192.0
Michigan,Delaware,0.0
Michigan,District of Columbia,262.0
Michigan,Florida,14236.0
Michigan,Georgia,3394.0
Michigan,Hawaii,780.0
Michigan,Idaho,658.0
Michigan,Illinois,11766.0
Michigan,Indiana,11338.0
Michigan,Iowa,719.0
Michigan,Kansas,1077.0
Michigan,Kentucky,2013.0
Michigan,Louisiana,1759.0
Michigan,Maine,270.0
Michigan,Maryland,1565.0
Michigan,Massachusetts,989.0
Michigan,Minnesota,1388.0
Michigan,Mississippi,395.0
Michigan,Missouri,1956.0
Michigan,Montana,301.0
Michigan,Nebraska,176.0
Michigan,Nevada,1412.0
Michigan,New Hampshire,404.0
Michigan,New Jersey,2352.0
Michigan,New Mexico,1056.0
Michigan,New York,4383.0
Michigan,North Carolina,4514.0
Michigan,North Dakota,444.0
Michigan,Ohio,8851.0
Michigan,Oklahoma,1881.0
Michigan,Oregon,2051.0
Michigan,Pennsylvania,3835.0
Michigan,Rhode Island,0.0
Michigan,South Carolina,1608.0
Michigan,South Dakota,869.0
Michigan,Tennessee,2693.0
Michigan,Texas,10011.0
Michigan,Utah,1610.0
Michigan,Vermont,218.0
Michigan,Virginia,2521.0
Michigan,Washington,3409.0
Michigan,West Virginia,517.0
Michigan,Wisconsin,5261.0
Michigan,Wyoming,29.0
Minnesota,Alabama,404.0
Minnesota,Alaska,832.0
Minnesota,Arizona,4770.0
Minnesota,Arkansas,920.0
Minnesota,California,4505.0
Minnesota,Colorado,3884.0
Minnesota,Connecticut,794.0
Minnesota,Delaware,72.0
Minnesota,District of Columbia,687.0
Minnesota,Florida,5844.0
Minnesota,Georgia,1898.0
Minnesota,Hawaii,531.0
Minnesota,Idaho,450.0
Minnesota,Illinois,6089.0
Minnesota,Indiana,1370.0
Minnesota,Iowa,5689.0
Minnesota,Kansas,1436.0
Minnesota,Kentucky,1142.0
Minnesota,Louisiana,221.0
Minnesota,Maine,19.0
Minnesota,Maryland,716.0
Minnesota,Massachusetts,952.0
Minnesota,Michigan,2884.0
Minnesota,Mississippi,416.0
Minnesota,Missouri,1950.0
Minnesota,Montana,537.0
Minnesota,Nebraska,2343.0
Minnesota,Nevada,443.0
Minnesota,New Hampshire,352.0
Minnesota,New Jersey,299.0
Minnesota,New Mexico,832.0
Minnesota,New York,1502.0
Minnesota,North Carolina,1350.0
Minnesota,North Dakota,6062.0
Minnesota,Ohio,1063.0
Minnesota,Oklahoma,842.0
Minnesota,Oregon,2320.0
Minnesota,Pennsylvania,1702.0
Minnesota,Rhode Island,381.0
Minnesota,South Carolina,733.0
Minnesota,South Dakota,2867.0
Minnesota,Tennessee,1309.0
Minnesota,Texas,4400.0
Minnesota,Utah,862.0
Minnesota,Vermont,0.0
Minnesota,Virginia,1716.0
Minnesota,Washington,3400.0
Minnesota,West Virginia,158.0
Minnesota,Wisconsin,15404.0
Minnesota,Wyoming,925.0
Mississippi,Alabama,6151.0
Mississippi,Alaska,223.0
Mississippi,Arizona,1356.0
Mississippi,Arkansas,1451.0
Mississippi,California,2921.0
Mississippi,Colorado,106.0
Mississippi,Connecticut,99.0
Mississippi,Delaware,611.0
Mississippi,District of Columbia,0.0
Mississippi,Florida,5839.0
Mississippi,Georgia,4016.0
Mississippi,Hawaii,260.0
Mississippi,Idaho,394.0
Mississippi,Illinois,1365.0
Mississippi,Indiana,426.0
Mississippi,Iowa,1090.0
Mississippi,Kansas,49.0
Mississippi,Kentucky,938.0
Mississippi,Louisiana,4518.0
Mississippi,Maine,89.0
Mississippi,Maryland,330.0
Mississippi,Massachusetts,478.0
Mississippi,Michigan,181.0
Mississippi,Minnesota,0.0
Mississippi,Missouri,855.0
Mississippi,Montana,0.0
Mississippi,Nebraska,1199.0
Mississippi,Nevada,1168.0
Mississippi,New Hampshire,0.0
Mississippi,New Jersey,288.0
Mississippi,New Mexico,0.0
Mississippi,New York,467.0
Mississippi,North Carolina,1717.0
Mississippi,North Dakota,0.0
Mississippi,Ohio,1021.0
Mississippi,Oklahoma,0.0
Mississippi,Oregon,124.0
Mississippi,Pennsylvania,402.0
Mississippi,Rhode Island,0.0
Mississippi,South Carolina,985.0
Mississippi,South Dakota,89.0
Mississippi,Tennessee,13818.0
Mississippi,Texas,6880.0
Mississippi,Utah,0.0
Mississippi,Vermont,0.0
Mississippi,Virginia,1028.0
Mississippi,Washington,1135.0
Mississippi,West Virginia,0.0
Mississippi,Wisconsin,543.0
Mississippi,Wyoming,0.0
Missouri,Alabama,852.0
Missouri,Alaska,676.0
Missouri,Arizona,5699.0
Missouri,Arkansas,7548.0
Missouri,California,8146.0
Missouri,Colorado,5846.0
Missouri,Connecticut,667.0
Missouri,Delaware,189.0
Missouri,District of Columbia,57.0
Missouri,Florida,5471.0
Missouri,Georgia,5555.0
Missouri,Hawaii,643.0
Missouri,Idaho,780.0
Missouri,Illinois,15326.0
Missouri,Indiana,3104.0
Missouri,Iowa,4155.0
Missouri,Kansas,20692.0
Missouri,Kentucky,2603.0
Missouri,Louisiana,1978.0
Missouri,Maine,148.0
Missouri,Maryland,960.0
Missouri,Massachusetts,596.0
Missouri,Michigan,1714.0
Missouri,Minnesota,1701.0
Missouri,Mississippi,1600.0
Missouri,Montana,579.0
Missouri,Nebraska,636.0
Missouri,Nevada,1656.0
Missouri,New Hampshire,214.0
Missouri,New Jersey,488.0
Missouri,New Mexico,969.0
Missouri,New York,3534.0
Missouri,North Carolina,3214.0
Missouri,North Dakota,398.0
Missouri,Ohio,2885.0
Missouri,Oklahoma,4633.0
Missouri,Oregon,687.0
Missouri,Pennsylvania,3178.0
Missouri,Rhode Island,256.0
Missouri,South Carolina,1226.0
Missouri,South Dakota,429.0
Missouri,Tennessee,4548.0
Missouri,Texas,9322.0
Missouri,Utah,1901.0
Missouri,Vermont,104.0
Missouri,Virginia,2006.0
Missouri,Washington,1615.0
Missouri,West Virginia,89.0
Missouri,Wisconsin,1455.0
Missouri,Wyoming,960.0
Montana,Alabama,73.0
Montana,Alaska,549.0
Montana,Arizona,823.0
Montana,Arkansas,416.0
Montana,California,5577.0
Montana,Colorado,2118.0
Montana,Connecticut,0.0
Montana,Delaware,0.0
Montana,District of Columbia,31.0
Montana,Florida,628.0
Montana,Georgia,460.0
Montana,Hawaii,90.0
Montana,Idaho,2361.0
Montana,Illinois,539.0
Montana,Indiana,23.0
Montana,Iowa,438.0
Montana,Kansas,232.0
Montana,Kentucky,218.0
Montana,Louisiana,5.0
Montana,Maine,431.0
Montana,Maryland,189.0
Montana,Massachusetts,111.0
Montana,Michigan,322.0
Montana,Minnesota,1439.0
Montana,Mississippi,36.0
Montana,Missouri,36.0
Montana,Nebraska,620.0
Montana,Nevada,531.0
Montana,New Hampshire,31.0
Montana,New Jersey,51.0
Montana,New Mexico,649.0
Montana,New York,58.0
Montana,North Carolina,0.0
Montana,North Dakota,799.0
Montana,Ohio,79.0
Montana,Oklahoma,257.0
Montana,Oregon,2713.0
Montana,Pennsylvania,847.0
Montana,Rhode Island,0.0
Montana,South Carolina,797.0
Montana,South Dakota,135.0
Montana,Tennessee,79.0
Montana,Texas,2417.0
Montana,Utah,2246.0
Montana,Vermont,143.0
Montana,Virginia,678.0
Montana,Washington,5214.0
Montana,West Virginia,0.0
Montana,Wisconsin,158.0
Montana,Wyoming,1128.0
Nebraska,Alabama,666.0
Nebraska,Alaska,107.0
Nebraska,Arizona,1367.0
Nebraska,Arkansas,937.0
Nebraska,California,1904.0
Nebraska,Colorado,5254.0
Nebraska,Connecticut,0.0
Nebraska,Delaware,0.0
Nebraska,District of Columbia,51.0
Nebraska,Florida,2296.0
Nebraska,Georgia,955.0
Nebraska,Hawaii,162.0
Nebraska,Idaho,1128.0
Nebraska,Illinois,2336.0
Nebraska,Indiana,867.0
Nebraska,Iowa,4860.0
Nebraska,Kansas,2179.0
Nebraska,Kentucky,370.0
Nebraska,Louisiana,114.0
Nebraska,Maine,0.0
Nebraska,Maryland,371.0
Nebraska,Massachusetts,80.0
Nebraska,Michigan,454.0
Nebraska,Minnesota,1233.0
Nebraska,Mississippi,32.0
Nebraska,Missouri,2886.0
Nebraska,Montana,250.0
Nebraska,Nevada,560.0
Nebraska,New Hampshire,493.0
Nebraska,New Jersey,49.0
Nebraska,New Mexico,1007.0
Nebraska,New York,711.0
Nebraska,North Carolina,943.0
Nebraska,North Dakota,445.0
Nebraska,Ohio,841.0
Nebraska,Oklahoma,225.0
Nebraska,Oregon,162.0
Nebraska,Pennsylvania,954.0
Nebraska,Rhode Island,0.0
Nebraska,South Carolina,445.0
Nebraska,South Dakota,2767.0
Nebraska,Tennessee,373.0
Nebraska,Texas,2475.0
Nebraska,Utah,301.0
Nebraska,Vermont,0.0
Nebraska,Virginia,2977.0
Nebraska,Washington,825.0
Nebraska,West Virginia,0.0
Nebraska,Wisconsin,438.0
Nebraska,Wyoming,740.0
Nevada,Alabama,218.0
Nevada,Alaska,1565.0
Nevada,Arizona,7972.0
Nevada,Arkansas,835.0
Nevada,California,41997.0
Nevada,Colorado,8064.0
Nevada,Connecticut,642.0
Nevada,Delaware,102.0
Nevada,District of Columbia,63.0
Nevada,Florida,5935.0
Nevada,Georgia,997.0
Nevada,Hawaii,4441.0
Nevada,Idaho,2057.0
Nevada,Illinois,970.0
Nevada,Indiana,292.0
Nevada,Iowa,288.0
Nevada,Kansas,639.0
Nevada,Kentucky,188.0
Nevada,Louisiana,1157.0
Nevada,Maine,0.0
Nevada,Maryland,633.0
Nevada,Massachusetts,767.0
Nevada,Michigan,1035.0
Nevada,Minnesota,743.0
Nevada,Mississippi,252.0
Nevada,Missouri,891.0
Nevada,Montana,820.0
Nevada,Nebraska,886.0
Nevada,New Hampshire,155.0
Nevada,New Jersey,1077.0
Nevada,New Mexico,1666.0
Nevada,New York,2582.0
Nevada,North Carolina,1072.0
Nevada,North Dakota,197.0
Nevada,Ohio,3475.0
Nevada,Oklahoma,1672.0
Nevada,Oregon,3604.0
Nevada,Pennsylvania,1868.0
Nevada,Rhode Island,0.0
Nevada,South Carolina,1233.0
Nevada,South Dakota,30.0
Nevada,Tennessee,600.0
Nevada,Texas,5939.0
Nevada,Utah,3776.0
Nevada,Vermont,54.0
Nevada,Virginia,2246.0
Nevada,Washington,5516.0
Nevada,West Virginia,0.0
Nevada,Wisconsin,853.0
Nevada,Wyoming,155.0
New Hampshire,Alabama,1530.0
New Hampshire,Alaska,103.0
New Hampshire,Arizona,702.0
New Hampshire,Arkansas,0.0
New Hampshire,California,1718.0
New Hampshire,Colorado,543.0
New Hampshire,Connecticut,1776.0
New Hampshire,Delaware,0.0
New Hampshire,District of Columbia,80.0
New Hampshire,Florida,1320.0
New Hampshire,Georgia,321.0
New Hampshire,Hawaii,0.0
New Hampshire,Idaho,583.0
New Hampshire,Illinois,95.0
New Hampshire,Indiana,103.0
New Hampshire,Iowa,283.0
New Hampshire,Kansas,118.0
New Hampshire,Kentucky,0.0
New Hampshire,Louisiana,564.0
New Hampshire,Maine,1604.0
New Hampshire,Maryland,705.0
New Hampshire,Massachusetts,16362.0
New Hampshire,Michigan,136.0
New Hampshire,Minnesota,115.0
New Hampshire,Mississippi,477.0
New Hampshire,Missouri,0.0
New Hampshire,Montana,0.0
New Hampshire,Nebraska,0.0
New Hampshire,Nevada,35.0
New Hampshire,New Jersey,395.0
New Hampshire,New Mexico,346.0
New Hampshire,New York,1777.0
New Hampshire,North Carolina,273.0
New Hampshire,North Dakota,0.0
New Hampshire,Ohio,127.0
New Hampshire,Oklahoma,371.0
New Hampshire,Oregon,0.0
New Hampshire,Pennsylvania,1914.0
New Hampshire,Rhode Island,333.0
New Hampshire,South Carolina,61.0
New Hampshire,South Dakota,0.0
New Hampshire,Tennessee,586.0
New Hampshire,Texas,1473.0
New Hampshire,Utah,560.0
New Hampshire,Vermont,1890.0
New Hampshire,Virginia,201.0
New Hampshire,Washington,110.0
New Hampshire,West Virginia,0.0
New Hampshire,Wisconsin,5.0
New Hampshire,Wyoming,0.0
New Jersey,Alabama,178.0
New Jersey,Alaska,54.0
New Jersey,Arizona,1140.0
New Jersey,Arkansas,165.0
New Jersey,California,9431.0
New Jersey,Colorado,2332.0
New Jersey,Connecticut,2483.0
New Jersey,Delaware,1291.0
New Jersey,District of Columbia,639.0
New Jersey,Florida,9635.0
New Jersey,Georgia,1865.0
New Jersey,Hawaii,820.0
New Jersey,Idaho,29.0
New Jersey,Illinois,3183.0
New Jersey,Indiana,1114.0
New Jersey,Iowa,42.0
New Jersey,Kansas,442.0
New Jersey,Kentucky,284.0
New Jersey,Louisiana,935.0
New Jersey,Maine,418.0
New Jersey,Maryland,3877.0
New Jersey,Massachusetts,4851.0
New Jersey,Michigan,679.0
New Jersey,Minnesota,354.0
New Jersey,Mississippi,80.0
New Jersey,Missouri,1217.0
New Jersey,Montana,114.0
New Jersey,Nebraska,12.0
New Jersey,Nevada,200.0
New Jersey,New Hampshire,102.0
New Jersey,New Mexico,187.0
New Jersey,New York,55926.0
New Jersey,North Carolina,3461.0
New Jersey,North Dakota,465.0
New Jersey,Ohio,1267.0
New Jersey,Oklahoma,906.0
New Jersey,Oregon,723.0
New Jersey,Pennsylvania,29564.0
New Jersey,Rhode Island,660.0
New Jersey,South Carolina,2619.0
New Jersey,South Dakota,0.0
New Jersey,Tennessee,611.0
New Jersey,Texas,4360.0
New Jersey,Utah,901.0
New Jersey,Vermont,302.0
New Jersey,Virginia,3918.0
New Jersey,Washington,1456.0
New Jersey,West Virginia,704.0
New Jersey,Wisconsin,194.0
New Jersey,Wyoming,145.0
New Mexico,Alabama,837.0
New Mexico,Alaska,345.0
New Mexico,Arizona,3535.0
New Mexico,Arkansas,477.0
New Mexico,California,8126.0
New Mexico,Colorado,5853.0
New Mexico,Connecticut,305.0
New Mexico,Delaware,0.0
New Mexico,District of Columbia,1261.0
New Mexico,Florida,1207.0
New Mexico,Georgia,1110.0
New Mexico,Hawaii,449.0
New Mexico,Idaho,1510.0
New Mexico,Illinois,1129.0
New Mexico,Indiana,81.0
New Mexico,Iowa,276.0
New Mexico,Kansas,1500.0
New Mexico,Kentucky,181.0
New Mexico,Louisiana,1443.0
New Mexico,Maine,106.0
New Mexico,Maryland,14.0
New Mexico,Massachusetts,577.0
New Mexico,Michigan,1383.0
New Mexico,Minnesota,275.0
New Mexico,Mississippi,4.0
New Mexico,Missouri,501.0
New Mexico,Montana,1146.0
New Mexico,Nebraska,325.0
New Mexico,Nevada,1243.0
New Mexico,New Hampshire,62.0
New Mexico,New Jersey,641.0
New Mexico,New York,184.0
New Mexico,North Carolina,522.0
New Mexico,North Dakota,362.0
New Mexico,Ohio,1216.0
New Mexico,Oklahoma,296.0
New Mexico,Oregon,733.0
New Mexico,Pennsylvania,678.0
New Mexico,Rhode Island,0.0
New Mexico,South Carolina,627.0
New Mexico,South Dakota,323.0
New Mexico,Tennessee,523.0
New Mexico,Texas,16975.0
New Mexico,Utah,1701.0
New Mexico,Vermont,0.0
New Mexico,Virginia,530.0
New Mexico,Washington,3591.0
New Mexico,West Virginia,0.0
New Mexico,Wisconsin,304.0
New Mexico,Wyoming,206.0
New York,Alabama,1389.0
New York,Alaska,445.0
New York,Arizona,3934.0
New York,Arkansas,649.0
New York,California,31097.0
New York,Colorado,5110.0
New York,Connecticut,15165.0
New York,Delaware,1867.0
New York,District of Columbia,3271.0
New York,Florida,24749.0
New York,Georgia,8013.0
New York,Hawaii,1615.0
New York,Idaho,214.0
New York,Illinois,8628.0
New York,Indiana,1347.0
New York,Iowa,1184.0
New York,Kansas,2816.0
New York,Kentucky,2678.0
New York,Louisiana,1574.0
New York,Maine,3190.0
New York,Maryland,8119.0
New York,Massachusetts,21001.0
New York,Michigan,2606.0
New York,Minnesota,1321.0
New York,Mississippi,503.0
New York,Missouri,1433.0
New York,Montana,660.0
New York,Nebraska,432.0
New York,Nevada,1844.0
New York,New Hampshire,1859.0
New York,New Jersey,40474.0
New York,New Mexico,840.0
New York,North Carolina,9000.0
New York,North Dakota,18.0
New York,Ohio,7648.0
New York,Oklahoma,458.0
New York,Oregon,1157.0
New York,Pennsylvania,27603.0
New York,Rhode Island,2073.0
New York,South Carolina,3192.0
New York,South Dakota,100.0
New York,Tennessee,4360.0
New York,Texas,18956.0
New York,Utah,3081.0
New York,Vermont,3926.0
New York,Virginia,11930.0
New York,Washington,6261.0
New York,West Virginia,507.0
New York,Wisconsin,2217.0
New York,Wyoming,321.0
North Carolina,Alabama,5582.0
North Carolina,Alaska,606.0
North Carolina,Arizona,6443.0
North Carolina,Arkansas,891.0
North Carolina,California,21084.0
North Carolina,Colorado,4393.0
North Carolina,Connecticut,4284.0
North Carolina,Delaware,1745.0
North Carolina,District of Columbia,862.0
North Carolina,Florida,39931.0
North Carolina,Georgia,23519.0
North Carolina,Hawaii,1927.0
North Carolina,Idaho,1425.0
North Carolina,Illinois,5380.0
North Carolina,Indiana,2819.0
North Carolina,Iowa,2629.0
North Carolina,Kansas,4842.0
North Carolina,Kentucky,4783.0
North Carolina,Louisiana,3978.0
North Carolina,Maine,1575.0
North Carolina,Maryland,12649.0
North Carolina,Massachusetts,8935.0
North Carolina,Michigan,5380.0
North Carolina,Minnesota,3030.0
North Carolina,Mississippi,881.0
North Carolina,Missouri,2914.0
North Carolina,Montana,1227.0
North Carolina,Nebraska,678.0
North Carolina,Nevada,1907.0
North Carolina,New Hampshire,1347.0
North Carolina,New Jersey,9290.0
North Carolina,New Mexico,1152.0
North Carolina,New York,29175.0
North Carolina,North Dakota,28.0
North Carolina,Ohio,5637.0
North Carolina,Oklahoma,1886.0
North Carolina,Oregon,1467.0
North Carolina,Pennsylvania,13040.0
North Carolina,Rhode Island,1154.0
North Carolina,South Carolina,31358.0
North Carolina,South Dakota,659.0
North Carolina,Tennessee,7905.0
North Carolina,Texas,17335.0
North Carolina,Utah,3032.0
North Carolina,Vermont,796.0
North Carolina,Virginia,25555.0
North Carolina,Washington,4976.0
North Carolina,West Virginia,2038.0
North Carolina,Wisconsin,5106.0
North Carolina,Wyoming,20.0
North Dakota,Alabama,1019.0
North Dakota,Alaska,252.0
North Dakota,Arizona,1325.0
North Dakota,Arkansas,0.0
North Dakota,California,1158.0
North Dakota,Colorado,1389.0
